,day,num_of_doves,num_of_hawks,population,dove_births,dove_deaths,hawk_births,hawk_deaths,total_calories,calories_after_feeding
0,0,510,490,1000,0,0,0,0,0,0
1,1,497,479,976,42,0,36,0,19808,15452.400000000009
2,2,522,500,1022,34,15,42,11,15452.400000000009,14353.72
3,3,542,493,1035,46,9,26,15,14353.72,14256.289999999994
4,4,522,500,1022,35,20,37,5,14256.289999999994,13961.879999999997
5,5,523,497,1020,29,9,38,12,13961.879999999997,13882.429999999995
6,6,528,508,1036,42,4,26,9,13882.429999999995,13852.740000000003
7,7,518,512,1030,25,12,37,5,13852.740000000003,14060.799999999992
8,8,529,515,1044,37,6,39,8,14060.799999999992,13858.309999999992
9,9,544,513,1057,46,9,30,8,13858.309999999992,13939.420000000002
10,10,540,506,1046,40,12,38,10,13939.420000000002,13956.919999999998
11,11,525,505,1030,33,11,26,13,13956.919999999998,14060.13999999999
12,12,519,506,1025,39,8,39,12,14060.13999999999,14037.980000000003
13,13,512,514,1026,31,10,32,9,14037.980000000003,13971.33000000001
14,14,548,508,1056,53,8,38,12,13971.33000000001,14030.479999999994
15,15,534,513,1047,32,13,35,9,14030.479999999994,14083.130000000008
16,16,521,502,1023,41,9,31,7,14083.130000000008,13898.91
17,17,523,513,1036,45,17,34,8,13898.91,13993.660000000016
18,18,525,510,1035,39,13,33,8,13993.660000000016,13959.139999999998
19,19,504,487,991,31,17,29,12,13959.139999999998,13983.740000000009
20,20,499,490,989,32,10,26,9,13983.740000000009,13916.169999999996
21,21,492,521,1013,35,13,43,10,13916.169999999996,13992.980000000005
22,22,479,505,984,23,15,25,6,13992.980000000005,13965.830000000007
23,23,499,501,1000,43,5,37,7,13965.830000000007,13895.72
24,24,477,502,979,27,14,38,12,13895.72,14073.660000000013
25,25,464,512,976,31,13,38,12,14073.660000000013,13984.15
26,26,475,497,972,43,13,38,12,13984.15,13969.239999999989
27,27,449,501,950,28,12,33,7,13969.239999999989,14035.789999999994
28,28,431,483,914,28,7,33,6,14035.789999999994,13952.710000000003
29,29,415,515,930,26,4,45,4,13952.710000000003,14022.730000000001
30,30,405,508,913,25,6,40,6,14022.730000000001,13994.83
31,31,394,505,899,22,10,44,8,13994.83,13914.400000000005
32,32,385,515,900,25,10,37,5,13914.400000000005,13949.309999999998
33,33,378,514,892,22,2,39,1,13949.309999999998,14002.840000000006
34,34,377,514,891,29,5,49,1,14002.840000000006,14086.859999999999
35,35,369,512,881,22,7,42,5,14086.859999999999,14036.010000000006
36,36,355,517,872,24,5,45,3,14036.010000000006,14088.87
37,37,340,517,857,21,1,43,3,14088.87,14098.720000000003
38,38,320,532,852,17,3,51,2,14098.720000000003,14032.55000000002
39,39,315,496,811,18,1,35,6,14032.55000000002,14076.7
